,ID,Aadress,Kuupaev,Seisukord,Tube,Magamistube,Üldpind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Lisaväärtused,Hind,Suve kommunaalid,Talve kommunaalid,Tagatisraha,Selle objekti kuumakse Luminoris,Tee kodu korda Luminori abil!,Materjal,Ehitusaasta,Lisaruumid,Küte,Sanitaar,Pliit,Side,Vannitube,Hind / m²,Katastritunnus,Energiamärgis,Parkimine,Katus,Ventilatsioon,Köögi pind,Rõdu,Rõdu pind,Kinnistu number,tasuline parkimine,tasuta parkimine,Lift,Lisanduvad kommunaalkulud,Parkimiskohti,Krunt,Lisainfo,Saadaval,Piirangud,maakond
35,5775696,"Kooli tn 63, Mai,Pärnu linn, Pärnu maakond",2022-10-23,uusehitis,3,2,61.6 m²,2,5,korteriomand,trepikoda lukus,,187000.0,,,,"588 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,2020,,"keskküte,põrandaküte",,,,,3 035.71 €/m²,62513:167:0980,C,,,,,rõdu,6.00,0,,jah,jah,,,,,,,parnu
36,1126728,"Tallinna mnt 3, Kesklinn,Pärnu linn, Pärnu maakond",2022-10-23,valmis,2,1,37 m²,3,4,korteriomand,"turvauks,trepikoda lukus","mööbli võimalus,külmik",84000.0,,,,"264 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,1962,panipaik,keskküte,"pesumasin,boiler,vann",gaasipliit,,,2 270.27 €/m²,,F,,,,,,,0,,jah,,,,,,,,parnu
37,8490354,"Riia mnt 60-5, Kesklinn,Pärnu linn, Pärnu maakond",2022-10-23,uusehitis,1,,20 m²,2,3,korteriomand,trepikoda lukus,,76000.0,,,,"239 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,2023,,keskküte,dušš,,,,3 800 €/m²,62511:160:1220,B,,,,,,,0,,,,,,,,,,parnu
38,8198410,"Riia mnt 60-1, Kesklinn,Pärnu linn, Pärnu maakond",2022-10-23,uusehitis,1,,20 m²,1,3,korteriomand,trepikoda lukus,,76000.0,,,,"239 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,2023,,keskküte,dušš,,,,3 800 €/m²,62511:160:1220,B,,,,,,,0,,,,,,,,,,parnu
39,5814287,"Kooli tn 63, Mai,Pärnu linn, Pärnu maakond",2022-10-23,uusehitis,4,3,61.6 m²,2,5,korteriomand,trepikoda lukus,,187000.0,,,,"588 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,2020,panipaik,"keskküte,põrandaküte",,,,,3 035.71 €/m²,62513:167:0980,C,,,,,rõdu,,0,,jah,jah,,,,,,,parnu
40,8668242,"Tähe tn 5, Rääma,Pärnu linn, Pärnu maakond",2022-10-23,valmis,2,,53.2 m²,2,3,korteriomand,trepikoda lukus,mööbli võimalus,95000.0,,,,"298 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,1968,,keskküte,"boiler,dušš",,,,1 785.71 €/m²,62506:040:3940,D,,,,,,,0,,jah,,,,,,,,parnu
41,2604007,"J. V. Jannseni tn 40, Ülejõe,Pärnu linn, Pärnu maakond",2022-10-23,san remont tehtud,3,,59.8 m²,1,2,korteriomand,,mööbli võimalus,80750.0,,,,"254 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",palkmaja,,,õhksoojuspump,"boiler,dušš",,,,1 350.33 €/m²,62502:001:5880,energiamärgis määramata,,,,,,,0,,jah,,,,,,,,parnu
42,2012289,"Papiniidu tn 52, Mai,Pärnu linn, Pärnu maakond",2022-10-23,uusehitis,3,,69.5 m²,8,8,korteriomand,trepikoda lukus,"mööbel,külmik",199500.0,,,,"627 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",paneelmaja,2006,panipaik,keskküte,"pesumasin,dušš",,"kaabel-TV,internet",,2 870.50 €/m²,62513:178:0002,D,,,,,rõdu,6.40,0,,jah,jah,,,,,,,parnu
43,7339889,"Mai tn 17, Mai,Pärnu linn, Pärnu maakond",2022-10-23,vajab renoveerimist,1,,27.3 m²,5,5,korteriomand,,,62000.0,,,,"195 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",paneelmaja,1971,,,pesumasin,,,,2 271.06 €/m²,62513:050:0460,D,,,,,,,0,,,,,,,,,,parnu
44,5697574,"Kivi tn 7/1, Eeslinn,Pärnu linn, Pärnu maakond",2022-10-23,renoveeritud,4,3,62.2 m²,3,3,korteriomand,,külmik,161000.0,,,,"506 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,1967,,keskküte,vann,,"internet,kaabel-TV",,2 588.42 €/m²,72801:003:1770,,,,,,,,0,,,,,,,,,,parnu
45,2849548,"Väike-Kuke tn 2, Kesklinn,Pärnu linn, Pärnu maakond",2022-10-23,valmis,2,1,37.6 m²,2,2,korteriomand,"turvauks,trepikoda lukus","mööbli võimalus,külmik",85000.0,,,,"267 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",puitmaja,,panipaik,"õhksoojuspump,elektriküte","pesumasin,boiler,wc ja vannituba eraldi,dušš",,,,2 260.64 €/m²,,energiamärgis määramata,,,,,,,0,,jah,,,,,,,,parnu
46,1044727,"Liiva tn 17-3, Kesklinn,Pärnu linn, Pärnu maakond",2022-10-23,uusehitis,3,,55.4 m²,1,3,korteriomand,trepikoda lukus,,155000.0,,,,"487 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,2022,,"põrandaküte,keskküte",dušš,,"kaabel-TV,internet",,2 797.83 €/m²,62511:065:0430,B,,,,,rõdu,,0,,,,,,,,,,parnu
47,9305604,"Liiva tn 17-4, Kesklinn,Pärnu linn, Pärnu maakond",2022-10-23,uusehitis,3,,55.4 m²,1,3,korteriomand,trepikoda lukus,,155000.0,,,,"487 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,2022,,"keskküte,põrandaküte",dušš,,"internet,kaabel-TV",,2 797.83 €/m²,62511:065:0430,B,,,,,rõdu,,0,,,,,,,,,,parnu
48,1668454,"Tui tn 6, Kesklinn,Pärnu linn, Pärnu maakond",2022-10-23,uusehitis,2,1,50.8 m²,1,3,korteriomand,"turvauks,naabrivalve,trepikoda lukus","mööbel,mööbli võimalus,külmik",179900.0,,,,"565 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,2019,panipaik,"keskküte,põrandaküte",pesumasin,,,,3 541.34 €/m²,62401:001:0125,B,,,,,,,0,,jah,,,,,,,,parnu
49,5651505,"Riia mnt 72, Eeslinn,Pärnu linn, Pärnu maakond",2022-10-23,vajab renoveerimist,3,2,52.9 m²,2,2,korteriomand,,,73000.0,,,,"229 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",puitmaja,1999,"kelder,panipaik",ahjuküte,tsentraalne kanalisatsioon,puupliit,"telefon,internet,digi-TV",,1 379.96 €/m²,62501:001:0962,,"kindel parkimiskoht kinnistul,tasuta parkimine",eterniit,,,,,,,,,,,,,,,parnu
50,7988920,"Elamukvartali tee 5,Tihemetsa alevik, Saarde vald, Pärnu maakond",2022-10-23,valmis,4,3,88.9 m²,3,3,korteriomand,,,22500.0,,,,"71 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,1980,panipaik,,,elektripliit,,1,253.09 €/m²,71101:006:0066,energiamärgis määramata,,,,,rõdu,,0,,,,,,,,,,parnu
51,5542030,"Pärnade pst 14,Paikuse alev, Pärnu linn, Pärnu maakond",2022-10-23,uusehitis,1,,37.6 m²,,3,korteriomand,trepikoda lukus,"mööbli võimalus,külmik",69500.0,,,,"218 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,2006,,keskküte,"pesumasin,dušš",,,,1 848.40 €/m²,,E,,,,,,,0,,,,,,,,,,parnu
