,rooms,floors,area_outside,area,link,address,hind,maakond
946,4,8/9,,64,https://city24.ee/real-estate/apartments-for-sale/tallinn-mustamae-linnaosa-sopruse-pst/6646502,"Sõpruse pst 211, Mustamäe südames,Mustamäe linnaosa, Tallinn, Harju maakond",187000,harju
947,2,5/5,,47.8,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-keila-linn-kruusa-tn/8267938,"Kruusa tn 15,Keila linn, Harju maakond",104900,harju
948,2,2/3,,48.1,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-viimsi-alevik-karulaugu-tee/4629354,"Karulaugu tee 9,Viimsi alevik, Harju maakond",175000,harju
949,2,2/2,,25.6,https://city24.ee/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-roo-tn/9281769,"Roo tn 47,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",105900,harju
950,1,2/2,,25.6,https://city24.ee/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-roo-tn/4253259,"Roo tn 47,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",105900,harju
951,2,3/9,,49.3,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-mahtra-tn/7983326,"Mahtra tn 25, Mustakivi,Lasnamäe linnaosa, Tallinn, Harju maakond",94999,harju
952,4,2/5,,78.7,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-oismae-tee/3461571,"Õismäe tee 113,Haabersti linnaosa, Tallinn, Harju maakond",209000,harju
953,3,7/9,,50,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-linnamae-tee/4162251,"Linnamäe tee 45,Lasnamäe linnaosa, Tallinn, Harju maakond",125000,harju
954,2,7/9,,50,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-linnamae-tee/8087444,"Linnamäe tee 45,Lasnamäe linnaosa, Tallinn, Harju maakond",125000,harju
955,5,,,129.7,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-tallinn-lasnamae-linnaosa/7594481,"Andrekse tee 5. Karla,Lasnamäe linnaosa, Tallinn, Harju maakond",268000,harju
956,2,3/5,,52.6,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-oismae-tee/7775045,"Õismäe tee 17, Väike-Õismäel,Haabersti linnaosa, Tallinn, Harju maakond",119000,harju
957,2,3/5,,46.5,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-asunduse-tn/5643268,"Asunduse tn 9, Kadrioru-Kesklinna-Lasnamäe piiril!,Lasnamäe linnaosa, Tallinn, Harju maakond",103900,harju
958,2,3/5,,46.1,https://city24.ee/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-tuulemaa-tn/3859103,"Tuulemaa tn 21,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",104800,harju
959,3,5/5,,63.2,https://city24.ee/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-elektroni-tn/5471242,"Elektroni tn 4,Kristiine linnaosa, Tallinn, Harju maakond",170000,harju
960,1,1/5,,30.5,https://city24.ee/real-estate/apartments-for-sale/tallinn-mustamae-linnaosa-e-vilde-tee/8482420,"E. Vilde tee 105,Mustamäe linnaosa, Tallinn, Harju maakond",82000,harju
961,3,5/7,,79.6,https://city24.ee/real-estate/apartments-for-sale/tallinn-mustamae-linnaosa-aiandi-tn/7068668,"Aiandi tn 3/3,Mustamäe linnaosa, Tallinn, Harju maakond",305000,harju
962,3,2/3,,85.5,https://city24.ee/real-estate/apartments-for-sale/tallinn-vanalinn-toom-kooli-tn/8489671,"Toom-Kooli tn 7, Vanalinn,Vanalinn, Tallinn, Harju maakond",513000,harju
