,Seisukord,Tube,Magamistube,Üldpind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Hind,Energiamärgis,Materjal,Ehitusaasta,Küte,Sanitaar,Vannitube,Lisaväärtused,Lisaruumid,Pliit,Side,Rõdu pind,Tagatisraha,Suve kommunaalid,Talve kommunaalid,Kinnistu number,Lift,Rõdu,Parkimine,Katus,Krunt,Lisanduvad kommunaalkulud,Lisainfo,tasuta parkimine,Ventilatsioon,Parkimiskohti,tasuline parkimine,Lisanduvad kommunaalid,Maakleritasu,Piirangud
56,renoveeritud,2.0,,51.3,4.0,5.0,korteriomand,"trepikoda lukus,naabrivalve",129000.0,E,kivimaja,1980.0,keskküte,"pesumasin,dušš,boiler,vann,wc ja vannituba eraldi",,mööbel,kelder,elektripliit,,4.0,,,,,,rõdu,kindel parkimiskoht kinnistul,,,,,,,,,,,
57,valmis,4.0,3.0,122.4,3.0,5.0,korteriomand,"trepikoda lukus,turvasüsteem",799000.0,,kivimaja,1911.0,keskküte,"vann,dušš",2.0,"kinnine hoov,mööbel",panipaik,elektripliit,internet,,,,,,jah,,,plekk,,,,,,,,,,
58,renoveeritud,3.0,1.0,76.6,5.0,7.0,,,240000.0,energiamärgis määramata,,1948.0,keskküte,,1.0,kinnine hoov,"panipaik,garderoob",,,,,,,,jah,,parkla,,,,,,,,,,,
59,uusehitis,1.0,,20.8,4.0,5.0,korteriomand,"trepikoda lukus,turvasüsteem,turvauks",97500.0,B,kivimaja,2022.0,põrandaküte,"dušš,pesumasin",,mööbel,,elektripliit,internet,,,,,,jah,,parkla,,,,,,sundventilatsioon,,,,,
60,,1.0,,30.2,2.0,5.0,,trepikoda lukus,90000.0,D,,1964.0,keskküte,dušš,,mööbel,kelder,,,2.0,,,,,,kinnine rõdu,parkla,,,,,,,,,,,
61,renoveeritud,2.0,1.0,43.6,1.0,5.0,korteriomand,"trepikoda lukus,turvasüsteem",125000.0,energiamärgis määramata,paneelmaja,1973.0,keskküte,dušš,1.0,mööbli võimalus,kelder,elektripliit,,,,,,,,,muu,,,,Aasta Kodu eriauhind,,,,,,,
62,uusehitis,2.0,1.0,52.2,4.0,4.0,korteriomand,"trepikoda lukus,turvauks",190000.0,,kivimaja,2018.0,"põrandaküte,gaasiküte","pesumasin,dušš",,"mööbel,mööbli võimalus,külmik",panipaik,,"kaabel-TV,internet",4.2,,,,0,,rõdu,,,,,,jah,,,,,,
63,valmis,3.0,2.0,64.9,2.0,9.0,korteriomand,trepikoda lukus,135000.0,E,,1992.0,keskküte,"dušš,vann,wc ja vannituba eraldi",,mööbli võimalus,,,internet,0.0,,,,0,jah,rõdu,,,,,,jah,,,,,,
64,"renoveeritud,valmis",2.0,1.0,43.7,4.0,5.0,korteriomand,"turvauks,videokaamerad,trepikoda lukus,naabrivalve",111000.0,D,paneelmaja,1969.0,keskküte,"tsentraalne kanalisatsioon,vann,wc ja vannituba eraldi",1.0,"mööbel,mööbli võimalus",kelder,gaasipliit,"digi-TV,telefon,internet",,,,,,,rõdu,"kindel parkimiskoht kinnistul,tasuta parkimine",bituumen,,,,,,,,,,
65,renoveeritud,1.0,1.0,34.1,2.0,5.0,korteriomand,"trepikoda lukus,naabrivalve,turvauks",73900.0,,paneelmaja,1980.0,keskküte,"vann,boiler,dušš,pesumasin",,"mööbel,külmik",,elektripliit,"internet,telefon,kaabel-TV",5.0,,88.0,120.0,,,rõdu,,,,,,,,,,,,
66,uusehitis,3.0,2.0,68.6,1.0,7.0,korteriomand,"naabrivalve,turvauks,trepikoda lukus",230000.0,C,paneelmaja,2014.0,"keskküte,põrandaküte","vann,pesumasin,dušš",,"mööbel,külmik",,elektripliit,"internet,telefon,kaabel-TV",15.0,,,,,jah,rõdu,,,,,,,,,,,,
