,Aadress,Kuupaev,Seisukord,Tube,Magamistube,Üldpind,Rõdu,Rõdu pind,Korrus,Korruseid kokku,Lisaväärtused,Hind,Suve kommunaalid,Talve kommunaalid,Energiamärgis,Ehitusaasta,Lift,Küte,Sanitaar,Pliit,Vannitube,Turvasüsteem,Materjal,Side,Ventilatsioon,Omandiõigus,Lisanduvad kommunaalkulud,Lisanduvad kommunaalid,Parkimiskohti,tasuta parkimine,Lisaruumid,tasuline parkimine,Tagatisraha,Krunt,Kinnistu number,Maakleritasu,Parkimine,Katus,Piirangud,Lisainfo,maakond
59,"Kivila tn 38,Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,2,,49.6,kinnine rõdu,,5,9,"mööbel,külmik",500.0,,,,,jah,keskküte,"vann,pesumasin,dušš,tsentraalne kanalisatsioon,wc ja vannituba eraldi",elektripliit,,"trepikoda lukus,turvauks",paneelmaja,"digi-TV,internet",sundventilatsioon,korteriomand,,,,,,,,,,,,,,,harju
60,"Randla tn 11,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,1,,16.5,,,5,5,"kinnine hoov,mööbel,külmik",320.0,70.00,100.00,D,1966,jah,keskküte,"pesumasin,tsentraalne kanalisatsioon,dušš",elektripliit,1,"videokaamerad,trepikoda lukus",paneelmaja,internet,,korteriomand,,kõik kommunaalteenused,,,,,250.00,,,250.00,tasuta parkimine,bituumen,,,harju
61,"Liivalaia tn 19a,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,"uus viimistlus,valmis",1,1,20.0,,,1,2,"kinnine hoov,mööbel,külmik",440.0,,,,,,"gaasiküte,keskküte,autonoomne küte","dušš,tsentraalne kanalisatsioon,pesumasin",elektripliit,1,"trepikoda lukus,naabrivalve,turvauks",kivimaja,internet,,korteriomand,,"elekter,vesi",,,,,100.00,,,440.00,parkimiskoht puudub,plekk,,,harju
62,"Mustamäe tee 143,Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,43.8,,,1,5,"mööbel,külmik",680.0,75.00,138.00,E,1969,,"keskküte,põrandaküte","dušš,pesumasin",,,"videokaamerad,turvauks,trepikoda lukus",paneelmaja,"kaabel-TV,internet",,korteriomand,,,,,,,,,,,,,,,harju
63,"Rataskaevu tn 8, Vanalinn,Vanalinn, Tallinn, Harju maakond",2022-10-24,valmis,2,1,76.5,,,3,4,"mööbel,külmik",650.0,,,energiamärgis määramata,1820,,"keskküte,gaasiküte,põrandaküte","dušš,pesumasin",elektripliit,,"turvauks,trepikoda lukus",kivimaja,"kaabel-TV,telefon,internet",,korteriomand,,,,,,,,,,,,,,,harju
64,"Uus-Maleva tn 7,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,san remont tehtud,1,,12.0,,,5,5,"mööbel,külmik",220.0,40.00,80.00,,,,keskküte,,,,,kivimaja,,,korteriomand,,,,,,,220.00,,,220.00,tasuta parkimine,,,,harju
65,"Herne tn 25,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,3,2,77.7,rõdu,3.40,3,5,külmik,750.0,100.00,200.00,energiamärgis määramata,2014,,"gaasiküte,põrandaküte","dušš,vann,pesumasin",elektripliit,,trepikoda lukus,kivimaja,"kaabel-TV,internet",,korteriomand,,,,,,,2100.00,,,,,,,,harju
66,"Padriku tee 6/2,Pirita linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,3,2,93.7,rõdu,21.60,4,4,"mööbel,külmik",750.0,120.00,250.00,energiamärgis määramata,2006,,"keskküte,gaasiküte,põrandaküte","dušš,vann,pesumasin",elektripliit,,"turvauks,trepikoda lukus",kivimaja,"kaabel-TV,telefon,internet",,korteriomand,,,,,,,,,,,,,,,harju
67,"Vilde tee 102,Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,43.0,rõdu,,3,5,"mööbel,külmik",490.0,70.00,140.00,D,1966,,keskküte,"dušš,vann,pesumasin",elektripliit,,"naabrivalve,videokaamerad,turvauks,trepikoda lukus",paneelmaja,"kaabel-TV,internet",,korteriomand,,,,,,,,,0,,,,,,harju
68,"Liivalaia tn 32, Liivalaia,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,"san remont tehtud,valmis,renoveeritud,uus viimistlus",2,,57.0,,,2,5,"mööbel,külmik",590.0,70.00,150.00,D,,jah,"põrandaküte,keskküte","vann,pesumasin,dušš,tsentraalne kanalisatsioon","gaasipliit,elektripliit",,"trepikoda lukus,turvauks,turvasüsteem",kivimaja,"internet,digi-TV",,korteriomand,,,,,,,590.00,,,590.00,tasuta parkimine,,,,harju
69,"Valge tn 6a/2,Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,1,56.0,rõdu,,2,4,"kinnine hoov,mööbel,külmik",690.0,,,,2020,jah,keskküte,"pesumasin,vann,tsentraalne kanalisatsioon",elektripliit,1,"turvauks,trepikoda lukus",kivimaja,"internet,digi-TV",sundventilatsioon,korteriomand,,,,,garderoob,,,,,,kindel parkimiskoht kinnistul,,,,harju
