,Address,District,Date,Seisukord,Tube,Magamistube,Vannitube,Üldpind,Korrus,Korruseid kokku,Turvasüsteem,Lisaväärtused,Hind,Energiamärgis,Materjal,Ehitusaasta,Lift,Katus,Küte,Pliit,Side,Ventilatsioon,Rõdu,Rõdu pind,Omandiõigus,Lisanduvad kommunaalid,Suve kommunaalid,Talve kommunaalid,Tagatisraha,Maakleritasu,Kinnistu number,Parkimine,Lisaruumid,Sanitaar,Lisainfo,Piirangud,Krunt,Lisanduvad kommunaalkulud,tasuline parkimine,tasuta parkimine,maakond
311,"Kotzebue tn 18A, Kalamaja, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,1,1,1,18.0,1,4,,"Lemmikloomad lubatud,külmik",280.0,,kivimaja,,,,põrandaküte,elektripliit,,,,,,,,,,,,tasuta parkimine,,"vann,dušš,tsentraalne kanalisatsioon,boiler",,,,,,,harju
312,"Erika tn 7, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,1,1,1,32.0,3,4,"videokaamerad,naabrivalve","mööbel,mööbli võimalus,külmik",500.0,,kivimaja,,,,keskküte,elektripliit,"digi-TV,internet",sundventilatsioon,,,korteriomand,kõik kommunaalteenused,,,1000.00,500.00,,tasuta parkimine,,,,,,,,,harju
313,"E. Vilde tee 90, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2023-01-13,,1,,1,12.0,4,5,"turvauks,trepikoda lukus",külmik,240.0,,kivimaja,,,,keskküte,elektripliit,,,,,korteriomand,,,,,,,,,"tsentraalne kanalisatsioon,dušš",,,,,,,harju
314,"E. Vilde tee, Vaba. Möbleeritud stuudiokorter Mustamäel., Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2023-01-13,"san remont tehtud,renoveeritud",1,,,12.0,2,5,"videokaamerad,trepikoda lukus,turvauks","mööbel,mööbli võimalus,Lemmikloomad lubatud,külmik",240.0,,kivimaja,1967,,rullmaterjal,keskküte,elektripliit,"digi-TV,internet",,,,korteriomand,,50.00,90.00,240.00,240.00,,tasuta parkimine,,"tsentraalne kanalisatsioon,dušš",,,,,,,harju
315,"Vibu tn 3, Kalamaja, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,4,3,1,93.3,1,4,trepikoda lukus,"mööbel,külmik",1200.0,B,paneelmaja,2015,jah,rullmaterjal,gaasiküte,elektripliit,,sundventilatsioon,terrass,,korteriomand,kõik kommunaalteenused,,,1200.00,1200.00,,parkimiskoht garaažis,"kelder,panipaik","pesumasin,tsentraalne kanalisatsioon,vann,wc ja vannituba eraldi",,,,,,,harju
316,"Ringi tn 44, Maardu linn, Harju maakond","Maardu linn, Harju maakond",2023-01-13,valmis,3,2,1,52.6,3,5,,,550.0,D,paneelmaja,1977,,,,,,,,,korteriomand,,,,,,,,,,,,,,,,harju
317,"Metsa tn 5, Karjaküla alevik, Lääne-Harju vald, Harju maakond","Karjaküla alevik, Lääne-Harju vald, Harju maakond",2023-01-13,"valmis,renoveeritud",3,2,1,50.0,1,2,turvauks,"eraldi sissepääs,mööbel,külmik",400.0,energiamärgis määramata,kivimaja,1961,,eterniit,ahjuküte,"gaasipliit,elektripliit",,,,,korteriomand,"elekter,vesi,küte",,,600.00,400.00,,tasuta parkimine,,"dušš,tsentraalne kanalisatsioon,boiler",,,,,,,harju
318,"Räägu tn 14a, Lilleküla, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2023-01-13,valmis,3,2,1,71.1,2,4,,,850.0,E,kivimaja,2006,,,,,,,,,korteriomand,,,,,,,,,,,,,,,,harju
319,"Uus-Maleva tn 3, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-13,valmis,1,1,1,27.6,3,5,"trepikoda lukus,turvauks,naabrivalve","mööbel,TV,külmik",450.0,E,kivimaja,1969,,,keskküte,gaasipliit,"digi-TV,internet",,,,korteriomand,,,,,,,tasuta parkimine,,"pesumasin,dušš,tsentraalne kanalisatsioon",,,,,,,harju
320,"E. Vilde tee 79, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2023-01-13,,1,,,29.9,4,5,trepikoda lukus,,360.0,D,,1966,,,keskküte,,,,,,,,,,,,,,,"dušš,vann",,,2596 m²,,,,harju
