,Address,District,Date,Seisukord,Tube,Magamistube,Vannitube,Üldpind,Korrus,Korruseid kokku,Turvasüsteem,Lisaväärtused,Hind,Energiamärgis,Materjal,Ehitusaasta,Lift,Küte,Pliit,Side,Ventilatsioon,Rõdu,Omandiõigus,Lisanduvad kommunaalid,Tagatisraha,Parkimine,Lisaruumid,Sanitaar,Lisanduvad kommunaalkulud,Parkimiskohti,tasuta parkimine,Rõdu pind,tasuline parkimine,Suve kommunaalid,Talve kommunaalid,Krunt,Kinnistu number,Maakleritasu,Katus,Piirangud,Lisainfo,maakond
62,"Tondi tn 23, HEA ASUKOHT, SUUR HOOV, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,renoveeritud,3,2,,75.0,1,2,"naabrivalve,trepikoda lukus",külmik,595.0,energiamärgis määramata,,,,õhksoojuspump,elektripliit,internet,,,,,,,,pesumasin,,,,,,,,,,,,,,harju
63,"Räägu tn 14, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,2,1,,53.2,3,4,"naabrivalve,trepikoda lukus","mööbel,külmik",750.0,,kivimaja,2006,,"gaasiküte,põrandaküte",,"telefon,internet",,rõdu,korteriomand,,,,,"dušš,pesumasin",,,,11.00,,,,,,,,,,harju
64,"Nõmme tee 19, Kristiine, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,renoveeritud,3,2,,68.4,9,9,"turvauks,trepikoda lukus","mööbel,külmik",700.0,E,kivimaja,,jah,gaasiküte,elektripliit,"kaabel-TV,internet",,rõdu,korteriomand,,,,,"dušš,pesumasin",,,,4.00,,,,,,,,,,harju
65,"Tööstuse tn 47d, Kalamaja, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,2,1,,95.3,4,5,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",2000.0,C,kivimaja,2019,jah,"keskküte,põrandaküte",,,,rõdu,korteriomand,,,,,"dušš,vann,pesumasin",,,,8.30,,,,,,,,,,harju
66,"Erika tn 5A, kopli, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,,2,,,35.0,3,4,,"mööbel,Lemmikloomad lubatud,külmik",450.0,,,,,,,,,,,,450.00,tasuta parkimine,garderoob,,,,,,,,,,,450.00,,,,harju
67,"Majaka tn 48, Sikupilli, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,2,1,,46.9,3,4,"naabrivalve,trepikoda lukus",külmik,560.0,B,puitmaja,1940,,gaasiküte,gaasipliit,"telefon,internet",,,korteriomand,,,,,"dušš,wc ja vannituba eraldi,vann,pesumasin",,,,,,,,,,,,,,harju
68,"Rõika tn 17, Kristiine, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,4,2,,105.0,,2,"naabrivalve,turvauks,trepikoda lukus",külmik,850.0,F,kivimaja,1994,,"keskküte,elektriküte,kamin,põrandaküte",elektripliit,"kaabel-TV,internet",,rõdu,korteriomand,,,garaaž,,"dušš,wc ja vannituba eraldi,saun,boiler,pesumasin",,,,7.00,,150.00,300.00,,,,,,,harju
69,"Valge tn 18h, Kadriorg, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,3,2,,53.8,1,5,"turvauks,trepikoda lukus","mööbel,külmik",700.0,D,kivimaja,2004,jah,gaasiküte,,"kaabel-TV,telefon,internet",,rõdu,korteriomand,,800.00,,,"dušš,pesumasin",,,,7.70,,100.00,180.00,,,,,,,harju
70,"Naeri tn 5, Veerenni, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,uus viimistlus,4,3,2,88.9,1,2,,,1000.0,energiamärgis määramata,puitmaja,2013,,,,,,,korteriomand,,,,panipaik,,,,,,,,,,,,,,,harju
71,"Kotzebue tn 18, Kalamaja, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,renoveeritud,1,,,17.0,2,2,"videokaamerad,turvauks,trepikoda lukus",mööbel,450.0,energiamärgis määramata,kivimaja,,,keskküte,elektripliit,kaabel-TV,,,,,,,,"dušš,pesumasin",,,,,,50.00,100.00,,,,,,,harju
72,"Tornimäe tn 7, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,"renoveeritud,valmis,uus viimistlus",3,2,1,67.9,10,30,"naabrivalve,trepikoda lukus,turvauks,turvamees","mööbel,mööbli võimalus,külmik",990.0,energiamärgis määramata,betoonmaja,2006,jah,"põrandaküte,keskküte",elektripliit,"digi-TV,telefon,internet","kliimaseade,konditsioneer",,korteriomand,,1000.00,"tasuline parkimine,parkimiskoht maa-aluses garaažis",garderoob,"tsentraalne kanalisatsioon,pesumasin,dušš",,,,,,130.00,220.00,,,990.00,bituumen,,,harju
73,"Sõpruse pst 29, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,renoveeritud,2,1,,57.1,2,5,"naabrivalve,videokaamerad,trepikoda lukus","mööbel,külmik",890.0,D,kivimaja,2007,jah,gaasiküte,,,,,korteriomand,,890.00,,,"dušš,pesumasin",,,,,,80.00,150.00,,,,,,,harju
74,"Kalaranna tn 25, Kalamaja, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,2,1,,48.8,1,4,"naabrivalve,trepikoda lukus","mööbel,külmik",790.0,A,kivimaja,2021,jah,keskküte,,,,rõdu,korteriomand,,,,,"dušš,pesumasin",,,,19.80,,,,,,,,,,harju
75,"Sadama tn 19, Paldiski, Paldiski linn, Harju maakond","Paldiski linn, Harju maakond",2022-10-30,renoveeritud,2,1,,39.9,3,4,"naabrivalve,turvauks,trepikoda lukus","mööbel,mööbli võimalus,külmik",350.0,D,kivimaja,1987,,"keskküte,põrandaküte",elektripliit,"telefon,internet",,,korteriomand,,,,,"dušš,pesumasin",,,jah,,,,,,6132002,,,,,harju
76,"Nõmme tee 19, Lilleküla, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,renoveeritud,3,2,,68.4,9,9,"turvauks,trepikoda lukus","mööbel,külmik",700.0,E,kivimaja,,jah,gaasiküte,elektripliit,"kaabel-TV,internet",,rõdu,korteriomand,,,,,"dušš,pesumasin",,,,4.00,,,,,,,,,,harju
