,0
158,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-lubja-tn/7290237
159,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-paeva-tn/5822108
160,https://city24.ee/real-estate/apartments-for-sale/tartu-vald-vahi-alevik-parna-allee/3443327
161,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/7975757
162,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/4573145
163,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/5912275
164,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/8305679
165,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/7033711
166,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/1771757
167,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/7710512
168,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/3207488
169,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/8342772
170,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/4029181
171,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/5408387
172,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/3544761
173,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/4202168
174,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/3137050
175,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/1899589
176,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/4856860
177,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/8846138
178,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/7267667
179,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/2900158
180,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/5475456
181,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/5517335
182,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/3721180
183,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/5707532
184,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/4156028
185,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/5186894
