,rooms,size,floor,condition,ownership_type,reg_no,energy_label,url,price,aadress,year,utility,total_floors,maakond,linn_vald,linnaosa,streetwno,street,sqm_price,st_address,address,lat,long
5357,2,38.5,2.0,Uus,Korteriomand,78401:101:3863,B,https://www.kv.ee/rajame-ajaloolise-kentmanni-tanava-viimasele-vabal-3295390.html,160000,"Harjumaa, Tallinn, Kesklinn, Kentmanni tn 28-12",2022.0,,7.0,Harjumaa,Tallinn,Kesklinn,Kentmanni tn 28-12,Kentmanni tn,4155.844155844156,"Eesti, Harjumaa,Tallinn,Kesklinn,Kentmanni tn","Kentmanni, Tallinn, Estonia",59.43085970000001,24.7514302
5358,1,26.2,2.0,Renoveeritud,Korteriomand,,Puudub,https://www.kv.ee/muua-taielikult-renoveeritud-1toaline-korter-paask-3372662.html,69000,"Harjumaa, Tallinn, Nõmme, Pärnu mnt. 492",,,2.0,Harjumaa,Tallinn,Nõmme,Pärnu mnt. 492,Pärnu mnt.,2633.587786259542,"Eesti, Harjumaa,Tallinn,Nõmme,Pärnu mnt.","Pärnu mnt, Tallinn, Estonia",59.3820942,24.6661189
5359,3,71.6,2.0,Uus,Korteriomand,78407:701:0745,B,https://www.kv.ee/ehitus-on-alanud-lisainfo-www-motuse25-eekontaktme-3300917.html,262900,"Harjumaa, Tallinn, Kristiine, Sõpruse pst 40-11",2022.0,,5.0,Harjumaa,Tallinn,Kristiine,Sõpruse pst 40-11,Sõpruse pst,3671.787709497207,"Eesti, Harjumaa,Tallinn,Kristiine,Sõpruse pst","Sõpruse pst, Tallinn, Estonia",59.41037360000001,24.7016038
5360,2,44.2,2.0,Renoveeritud,Korteriomand,78408:803:7650,Puudub,https://www.kv.ee/korterkorterisse-sisenedes-leiame-end-pikast-punas-3380648.html,99000,"Harjumaa, Tallinn, Põhja-Tallinn, Sõle 30",1940.0,,2.0,Harjumaa,Tallinn,Põhja-Tallinn,Sõle 30,Sõle,2239.8190045248866,"Eesti, Harjumaa,Tallinn,Põhja-Tallinn,Sõle","Sõle, Tallinn, Estonia",59.4441383,24.7029783
5361,3,64.0,4.0,Keskmine,Korteriomand,78401:113:0023,E,https://www.kv.ee/muua-3toaline-roduga-korter-kardioru-vahetus-lahed-3324685.html,160000,"Harjumaa, Tallinn, Kesklinn, Gonsiori tn 33",1989.0,,7.0,Harjumaa,Tallinn,Kesklinn,Gonsiori tn 33,Gonsiori tn,2500.0,"Eesti, Harjumaa,Tallinn,Kesklinn,Gonsiori tn","Gonsiori, Tallinn, Estonia",59.4337993,24.7718681
5362,2,59.2,1.0,Renoveeritud,Korteriomand,78401:103:0570,Puudub,https://www.kv.ee/kortermuugile-on-tulnud-suureparase-asukohaga-stii-3380414.html,209900,"Harjumaa, Tallinn, Kesklinn, V. Reimani tn 2",1956.0,,5.0,Harjumaa,Tallinn,Kesklinn,V. Reimani tn 2,V. Reimani tn,3545.608108108108,"Eesti, Harjumaa,Tallinn,Kesklinn,V. Reimani tn","V. Reimani, Tallinn, Estonia",59.436344,24.7623309
5363,3,100.1,4.0,Valmis,Korteriomand,,A,https://www.kv.ee/korter-muua-hubane-3toaline-avara-koogielutoaga-ko-3373063.html,165000,"Harjumaa, Tallinn, Lasnamäe, Narva mnt 174 c/3",2006.0,,3.0,Harjumaa,Tallinn,Lasnamäe,Narva mnt 174 c/3,Narva mnt,1648.3516483516485,"Eesti, Harjumaa,Tallinn,Lasnamäe,Narva mnt","Narva mnt, Tallinn, Estonia",59.45154040000001,24.8424504
5364,3,66.0,3.0,Keskmine,Korteriomand,89001:010:7900,E,https://www.kv.ee/osta-kodu-viimsi-mae-otsa-imehea-planeeringu-ja-ro-3382006.html,129000,"Harjumaa, Viimsi vald, Viimsi, Aiandi tee 14",1982.0,80 €/180 €,5.0,Harjumaa,Viimsi vald,Viimsi,Aiandi tee 14,Aiandi tee,1954.5454545454545,"Eesti, Harjumaa,Viimsi vald,Viimsi,Aiandi tee","Aiandi tee, Viimsi, Harju maakond, Estonia",59.50308949999999,24.8391369
5365,3,56.6,2.0,Uus,Korteriomand,,A,https://www.kv.ee/kakumae-sudamesse-rahulikku-ja-rohelisse-vismeistr-3381392.html,165000,"Harjumaa, Tallinn, Haabersti, Kakumäe, Jõeküla tee 18/3-5",2022.0,,2.0,Harjumaa,Tallinn,Haabersti,Jõeküla tee 18/3-5,Jõeküla tee,2915.1943462897525,"Eesti, Harjumaa,Tallinn,Haabersti,Jõeküla tee","Jõeküla tee, Tallinn, Estonia",59.4403278,24.5911781
5366,3,56.0,4.0,,Korteriomand,,D,https://www.kv.ee/muua-heas-korras-3toaline-korter-koik-toad-ja-kook-3381518.html,82000,"Tartumaa, Tartu, Tartu linn, Annelinn, Anne 49",1969.0,,5.0,Tartumaa,Tartu,Tartu linn,Anne 49,Anne,1464.2857142857142,"Eesti, Tartumaa,Tartu,Tartu linn,Anne","Anne, Tartu, Estonia",58.3778762,26.7532621
5367,2,42.4,8.0,Heas korras,,78408:802:0380,G,https://www.kv.ee/korterkorter-on-labi-maja-planeeringuga-korterisse-3359677.html,131999,"Harjumaa, Tallinn, Kesklinn, Paldiski mnt 20",1977.0,100 €/150 €,9.0,Harjumaa,Tallinn,Kesklinn,Paldiski mnt 20,Paldiski mnt,3113.183962264151,"Eesti, Harjumaa,Tallinn,Kesklinn,Paldiski mnt","Paldiski mnt, Tallinn, Estonia",59.4348303,24.7277283
5368,1,51.1,1.0,,Korteriomand,78401:108:1820,-,https://www.kv.ee/muugile-on-tulnud-hubane-kodu-vanalinna-lahedal-wi-3375537.html,105000,"Harjumaa, Tallinn, Kesklinn, Kassisaba, Wismari tn 21",1940.0,,2.0,Harjumaa,Tallinn,Kesklinn,Wismari tn 21,Wismari tn,2054.794520547945,"Eesti, Harjumaa,Tallinn,Kesklinn,Wismari tn","Wismari, Tallinn, Estonia",59.432311,24.7314302
5369,2,45.1,3.0,Uus,Korteriomand,78407:701:0745,B,https://www.kv.ee/ehitus-on-alanud-lisainfo-www-motuse25-eekontaktme-3300953.html,159900,"Harjumaa, Tallinn, Kristiine, Sõpruse pst 40-28",2022.0,,5.0,Harjumaa,Tallinn,Kristiine,Sõpruse pst 40-28,Sõpruse pst,3545.454545454545,"Eesti, Harjumaa,Tallinn,Kristiine,Sõpruse pst","Sõpruse pst, Tallinn, Estonia",59.41037360000001,24.7016038
5370,4,107.4,1.0,Uus,Korteriomand,,A,https://www.kv.ee/arenduse-koduleht-joekula-eekakumae-sudamesse-rahu-3380893.html,297000,"Harjumaa, Tallinn, Haabersti, Kakumäe, Jõeküla tee 18/4-10",2022.0,,2.0,Harjumaa,Tallinn,Haabersti,Jõeküla tee 18/4-10,Jõeküla tee,2765.36312849162,"Eesti, Harjumaa,Tallinn,Haabersti,Jõeküla tee","Jõeküla tee, Tallinn, Estonia",59.4403278,24.5911781
