,address,rooms,bedrooms,area,floor,total_floors,price,energy_label,year,maakond,city,district,flag_balcony,flag_lift,flag_shower,flag_bath,flag_sauna,flag_generalheat,flag_floorheat,flag_gasheat,flag_electricalheat,flag_brick,flag_panel,flag_beton,flag_stone,flag_wood,flag_newbuilding,flag_indevelopment,flag_renovated,flag_needsrenovation,zipcode,lat,lng
2391,"Teelise tn 10-61, Teelise, Nõmme linnaosa, Tallinn, Harju maakond",1.0,1.0,40.7,2.0,4.0,157000.0,B,2023.0,harju, Tallinn,Nõmme linnaosa,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,10916,59.36084259999999,24.6323894
2392,"Sõpruse pst 28-25, Lilleküla, Kristiine linnaosa, Tallinn, Harju maakond",3.0,2.0,73.1,2.0,5.0,345000.0,energiamärgis määramata,2024.0,harju, Tallinn,Kristiine linnaosa,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,10615,59.4219005,24.7140545
2393,"Sõpruse pst 28-23, Lilleküla, Kristiine linnaosa, Tallinn, Harju maakond",3.0,2.0,73.2,1.0,5.0,360000.0,energiamärgis määramata,2024.0,harju, Tallinn,Kristiine linnaosa,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,10615,59.4219005,24.7140545
2394,"Pille tn 11/5-113, Veerenni, Kesklinna linnaosa, Tallinn, Harju maakond",2.0,1.0,35.6,3.0,6.0,186900.0,B,2023.0,harju, Tallinn,Kesklinna linnaosa,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,10135,59.42037759999999,24.7502485
2395,"Pärnu mnt 328-5, Nõmme, Nõmme linnaosa, Tallinn, Harju maakond",1.0,1.0,37.6,2.0,5.0,168000.0,C,2022.0,harju, Tallinn,Nõmme linnaosa,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,11611,59.3876465,24.6821857
2396,"Sõpruse pst 28-27, Lilleküla, Kristiine linnaosa, Tallinn, Harju maakond",3.0,2.0,69.9,2.0,5.0,340000.0,energiamärgis määramata,2024.0,harju, Tallinn,Kristiine linnaosa,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,10615,59.4219005,24.7140545
2397,"Pärnu mnt 328-28, Nõmme, Nõmme linnaosa, Tallinn, Harju maakond",3.0,2.0,85.9,4.0,5.0,380000.0,C,2022.0,harju, Tallinn,Nõmme linnaosa,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,11611,59.3876465,24.6821857
2398,"Pärnu mnt 328-33, Nõmme, Nõmme linnaosa, Tallinn, Harju maakond",4.0,3.0,122.7,4.0,5.0,506000.0,C,2022.0,harju, Tallinn,Nõmme linnaosa,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,11611,59.3876465,24.6821857
2399,"Pärnu mnt 328-36, Nõmme, Nõmme linnaosa, Tallinn, Harju maakond",4.0,3.0,126.4,4.0,5.0,518000.0,C,2022.0,harju, Tallinn,Nõmme linnaosa,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,11611,59.3876465,24.6821857
2400,"Teelise tn 8-38, Nõmme linnaosa, Tallinn, Harju maakond",1.0,1.0,41.3,3.0,4.0,149000.0,B,2023.0,harju, Tallinn,Nõmme linnaosa,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,10916,59.36084259999999,24.6323894
2401,"Teelise tn 8-42, Nõmme linnaosa, Tallinn, Harju maakond",1.0,1.0,41.3,4.0,4.0,158000.0,B,2023.0,harju, Tallinn,Nõmme linnaosa,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,10916,59.36084259999999,24.6323894
2402,"Sõpruse pst 28-28, Lilleküla, Kristiine linnaosa, Tallinn, Harju maakond",3.0,2.0,73.0,3.0,5.0,350000.0,energiamärgis määramata,2024.0,harju, Tallinn,Kristiine linnaosa,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,10615,59.4219005,24.7140545
2403,"Sõpruse pst 28-34, Lilleküla, Kristiine linnaosa, Tallinn, Harju maakond",4.0,3.0,132.2,5.0,5.0,720000.0,energiamärgis määramata,2024.0,harju, Tallinn,Kristiine linnaosa,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,10615,59.4219005,24.7140545
2404,"Sõpruse pst 28-36, Lilleküla, Kristiine linnaosa, Tallinn, Harju maakond",4.0,3.0,97.2,1.0,5.0,510000.0,energiamärgis määramata,2024.0,harju, Tallinn,Kristiine linnaosa,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,10615,59.4219005,24.7140545
2405,"Sõpruse pst 28-38, Lilleküla, Kristiine linnaosa, Tallinn, Harju maakond",2.0,1.0,51.1,2.0,5.0,260000.0,energiamärgis määramata,2024.0,harju, Tallinn,Kristiine linnaosa,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,10615,59.4219005,24.7140545
2406,"Sõpruse pst 28-39, Lilleküla, Kristiine linnaosa, Tallinn, Harju maakond",4.0,3.0,97.7,2.0,5.0,495000.0,energiamärgis määramata,2024.0,harju, Tallinn,Kristiine linnaosa,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,10615,59.4219005,24.7140545
2407,"Sõpruse pst 28-30, Lilleküla, Kristiine linnaosa, Tallinn, Harju maakond",3.0,2.0,69.9,3.0,5.0,345000.0,energiamärgis määramata,2024.0,harju, Tallinn,Kristiine linnaosa,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,10615,59.4219005,24.7140545
2408,"Sõpruse pst 28-31, Lilleküla, Kristiine linnaosa, Tallinn, Harju maakond",3.0,2.0,73.0,4.0,5.0,355000.0,energiamärgis määramata,2024.0,harju, Tallinn,Kristiine linnaosa,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,10615,59.4219005,24.7140545
2409,"Sõpruse pst 28-33, Lilleküla, Kristiine linnaosa, Tallinn, Harju maakond",3.0,2.0,69.9,4.0,5.0,350000.0,energiamärgis määramata,2024.0,harju, Tallinn,Kristiine linnaosa,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,10615,59.4219005,24.7140545
2410,"Sõpruse pst 28-42, Lilleküla, Kristiine linnaosa, Tallinn, Harju maakond",4.0,3.0,97.9,3.0,5.0,505000.0,energiamärgis määramata,2024.0,harju, Tallinn,Kristiine linnaosa,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,10615,59.4219005,24.7140545
2411,"Pärnu mnt 328-4, Nõmme, Nõmme linnaosa, Tallinn, Harju maakond",3.0,2.0,85.9,2.0,5.0,356000.0,C,2022.0,harju, Tallinn,Nõmme linnaosa,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,11611,59.3876465,24.6821857
2412,"Pärnu mnt 328-6, Nõmme, Nõmme linnaosa, Tallinn, Harju maakond",1.0,1.0,37.6,2.0,5.0,168000.0,C,2022.0,harju, Tallinn,Nõmme linnaosa,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,11611,59.3876465,24.6821857
2413,"Teelise tn 8-11, Nõmme linnaosa, Tallinn, Harju maakond",1.0,1.0,41.3,3.0,4.0,149000.0,B,2023.0,harju, Tallinn,Nõmme linnaosa,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,10916,59.36084259999999,24.6323894
2414,"Lastekodu tn 31/2-96, Odra, Kesklinna linnaosa, Tallinn, Harju maakond",4.0,3.0,131.7,1.0,4.0,545000.0,B,2023.0,harju, Tallinn,Kesklinna linnaosa,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,10144,59.42731819999999,24.7722422
2415,"Teelise tn 10-78, Teelise, Nõmme linnaosa, Tallinn, Harju maakond",2.0,1.0,51.3,2.0,4.0,188000.0,B,2023.0,harju, Tallinn,Nõmme linnaosa,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,10916,59.36084259999999,24.6323894
2416,"Pille tn 11/5-121, Veerenni, Kesklinna linnaosa, Tallinn, Harju maakond",2.0,1.0,35.1,5.0,6.0,193900.0,B,2023.0,harju, Tallinn,Kesklinna linnaosa,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,10135,59.42037759999999,24.7502485
2417,"Pille tn 11/6-125, Veerenni, Kesklinna linnaosa, Tallinn, Harju maakond",1.0,1.0,34.3,1.0,4.0,180900.0,B,2023.0,harju, Tallinn,Kesklinna linnaosa,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,10135,59.42037759999999,24.7502485
