,Üldinfo,aadress,date,ID,Seisukord,Tube,Magamistube,Vannitube,Üldpind,Rõdu,Rõdu pind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Lisaväärtused,Hind,Hind / m²,Selle objekti kuumakse Luminoris,Tee kodu korda Luminori abil!,Hoone,Katastritunnus,Energiamärgis,Materjal,Ehitusaasta,Lisaruumid,Tehnosüsteemid,Küte,Sanitaar,Pliit,Side,Parkimine,Lisainfo,Ventilatsioon,Köögi pind,Lift,Katus,Kinnistu number,tasuta parkimine,Krunt,Suve kommunaalid,Talve kommunaalid,tasuline parkimine,Saadaval,Lisanduvad kommunaalid,Tagatisraha,KM,Sihtotstarve,Parkimiskohti,Lisanduvad kommunaalkulud,Maakleritasu,Piirangud
1921,Üldinfo,"Veeru tn 4,Maardu linn, Harju maakond",5/27/2022,6787796,vajab renoveerimist,1,1,,44.4 m²,,,5,7,korteriomand,"naabrivalve,trepikoda lukus,turvauks","mööbel,külmik",67 990 €,1 531.31 €/m²,"214 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,44603:003:0003,D,paneelmaja,1984,,Tehnosüsteemid,keskküte,"dušš,pesumasin,vann,wc ja vannituba eraldi",elektripliit,"kaabel-TV,telefon,internet",,,,,jah,,,jah,,55,110,,,,,,,,,,
1922,Üldinfo,"K. Kärberi tn 16,Lasnamäe linnaosa, Tallinn, Harju maakond",5/27/2022,6762615,valmis,3,2,,66.8 m²,rõdu,3,4,5,korteriomand,"naabrivalve,trepikoda lukus,turvauks","mööbel,mööbli võimalus,külmik",145 000 €,2 170.66 €/m²,"456 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,78403:310:1040,D,paneelmaja,1984,,Tehnosüsteemid,keskküte,"dušš,wc ja vannituba eraldi,pesumasin,vann",,"kaabel-TV,internet,telefon",,,,,,,,jah,,100,180,,,,,,,,,,
1923,Üldinfo,"Ümera tn 50a,Lasnamäe linnaosa, Tallinn, Harju maakond",5/27/2022,2856345,valmis,2,1,,52.8 m²,rõdu,3,4,5,korteriomand,"naabrivalve,trepikoda lukus,turvauks","mööbel,külmik",119 990 €,2 272.54 €/m²,"377 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,78403:309:0013,E,paneelmaja,1987,panipaik,Tehnosüsteemid,keskküte,"pesumasin,vann,dušš",elektripliit,"kaabel-TV,telefon,internet",,,,,,,,jah,,80,150,,,,,,,,,,
1924,Üldinfo,"Koidu tn 25/1, Kesklinn,Kesklinna linnaosa, Tallinn, Harju maakond",5/27/2022,1173098,"san remont tehtud,valmis",1,1,1,30.7 m²,,,2,2,korteriomand,trepikoda lukus,kinnine hoov,99 000 €,3 224.76 €/m²,"311 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,,energiamärgis määramata,puitmaja,,"kelder,panipaik",Tehnosüsteemid,"põrandaküte,elektriküte,ahjuküte,kombineeritud küte,kamin","boiler,tsentraalne kanalisatsioon,dušš",elektripliit,,"kindel parkimiskoht kinnistul,tasuta parkimine",,,,,plekk,,,,,,,,,,,,,,,
1925,Üldinfo,"Staadioni tn 5,Aruküla alevik, Raasiku vald, Harju maakond",5/27/2022,1071360,,3,2,,67.1 m²,,,3,3,korteriomand,turvauks,,134 900 €,2 010.43 €/m²,"424 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,65101:003:2460,energiamärgis määramata,kivimaja,1981,panipaik,Tehnosüsteemid,"keskküte,põrandaküte","dušš,vann,boiler,wc ja vannituba eraldi",gaasipliit,"internet,kaabel-TV,telefon",,,,,,,,,,75,150,,,,,,,,,,
1926,Üldinfo,"Toom-Kooli tn 7, Toompea,Vanalinn, Tallinn, Harju maakond",5/27/2022,2590431,uus viimistlus,2,1,1,135.7 m²,,,3,4,korteriomand,"naabrivalve,turvauks,trepikoda lukus","mööbel,mööbli võimalus",475 000 €,3 500.37 €/m²,"1 492 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,78401:101:3300,,kivimaja,,kelder,Tehnosüsteemid,elektriküte,"pesumasin,saun,tsentraalne kanalisatsioon,dušš",elektripliit,"telefon,internet,digi-TV",,,,,,,,,,,,,,,,,,,,,
1927,Üldinfo,"Hüatsindi tee 1,Viimsi alevik, Harju maakond",5/27/2022,6445859,,2,1,,52.5 m²,,,2,3,korteriomand,"trepikoda lukus,turvauks",külmik,199 990 €,3 809.33 €/m²,"628 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,89001:010:3493,C,paneelmaja,2017,,Tehnosüsteemid,"keskküte,põrandaküte","saun,dušš",elektripliit,"internet,kaabel-TV,telefon",,,,,,,,jah,,100,175,,,,,,,,,,
1928,Üldinfo,"Kütte tn 11,Maardu linn, Harju maakond",5/27/2022,3186508,renoveeritud,3,2,1,57.8 m²,,,3,5,korteriomand,"videokaamerad,trepikoda lukus","mööbel,mööbli võimalus",94 000 €,1 626.30 €/m²,"295 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,44603:003:0101,E,kivimaja,1968,kelder,Tehnosüsteemid,keskküte,"dušš,wc ja vannituba eraldi,pesumasin",elektripliit,"digi-TV,internet",tasuta parkimine,,,6,,eterniit,7657002,,,,,,,,,,,,,,
1929,Üldinfo,"Tuulemäe tn 7,Lasnamäe linnaosa, Tallinn, Harju maakond",5/27/2022,5150090,,3,2,2,79 m²,,,2,2,korteriomand,,,165 000 €,2 088.61 €/m²,"518 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,,energiamärgis määramata,kivimaja,1949,,Tehnosüsteemid,,,elektripliit,,,,,,,,,,,,,,,,,,,,,,
1930,Üldinfo,"Vihuri tn 8,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",5/27/2022,2587587,renoveeritud,4,3,1,74.5 m²,,,1,5,korteriomand,,,210 000 €,2 818.79 €/m²,"660 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,,E,kivimaja,1970,panipaik,Tehnosüsteemid,,,gaasipliit,,,,,,,,,,,,,,,,,,,,,,
1931,Üldinfo,"Nooruse tn 7,Loksa linn, Harju maakond",5/27/2022,2169312,vajab renoveerimist,2,1,,36.9 m²,,,,2,kinnistu,"trepikoda lukus,naabrivalve","mööbel,mööbli võimalus,külmik",40 000 €,1 084.01 €/m²,"126 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,,,kivimaja,1963,,Tehnosüsteemid,"õhksoojuspump,kombineeritud küte","wc ja vannituba eraldi,pesumasin,boiler,dušš",elektripliit,"telefon,kaabel-TV,internet",,,,,,,,,,,,,,,,,,,,,
1932,Üldinfo,"Metsa tn 40a,Nõmme linnaosa, Tallinn, Harju maakond",5/27/2022,4589321,renoveeritud,2,1,,42.3 m²,,,2,2,,"naabrivalve,trepikoda lukus,turvauks",,149 900 €,3 543.74 €/m²,"471 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,78404:401:0006,energiamärgis määramata,puitmaja,1929,,Tehnosüsteemid,,dušš,puupliit,"kaabel-TV,internet,telefon",,,,,,,6775101,jah,,,,,,,,,,,,,
