,rooms,floors,area_outside,area,link,address,maakond
3987,2,3/4,,43 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/9122081,"Pikaliiva tn 5-27, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3988,4,4/4,,82.9 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/8832530,"Pikaliiva tn 5-31, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3989,3,4/4,,68 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/7562430,"Pikaliiva tn 5-32, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3990,2,4/4,,45.9 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/6302928,"Pikaliiva tn 5-33, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3991,4,2/4,,82.8 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/8628931,"Pikaliiva tn 5-15, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3992,2,1/4,,52.8 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/2823765,"Pikaliiva tn 7-8, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3993,3,4/4,,66.5 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/6037316,"Pikaliiva tn 5-36, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3994,3,1/4,,67.7 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/9365370,"Pikaliiva tn 5-2, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3995,3,1/4,,83.7 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/6665630,"Pikaliiva tn 5-6, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3996,4,2/4,,82.9 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/6061486,"Pikaliiva tn 5-11, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3997,4,1/4,,83.4 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/8445452,"Pikaliiva tn 5-3, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
